Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,Code Immoweb,Type of Sale
9230 — WETTEREN,House,,740000,252,1,0,1,40,1292,1292,1481,4,0,To be done up,20316344,No,
9890 — Gavere Dikkelvenne,House,,417250,149,1,1,0,40,314,314,732,3,1,To be done up,20326851,No,
1950 — Kraainem,House,,615000,183,1,1,0,15,60,60,170,2,0,Good,20327330,No,
9500 — Geraardsbergen,House,,257000,156,0,1,0,0,,,1913,4,0,To renovate,20324529,No,
9680 — Maarkedal,,Villa,695000,208,0,1,0,17,,,9092,4,0,Good,20324568,No,
2900 — SCHOTEN,House,,419000,250,1,0,0,17,91,91,172,2,0,As new,20326884,No,
2610 — WILRIJK,House,,289000,186,0,0,0,0,90,90,172,2,0,To renovate,20323438,No,
4400 — Flémalle,House,,270000,110,1,1,0,20,300,300,680,3,1,As new,20326266,No,
4600 — Visé,House,,349000,150,1,1,0,49,360,360,490,2,1,Good,20323620,No,
4101 — Seraing Jemeppesur-Meuse,House,,180000,230,1,1,0,15,300,300,400,2,1,To be done up,20327113,No,
2630 — AARTSELAAR,House,,469000,195,1,0,0,32,66,66,172,2,0,Just renovated,20324060,No,
2845 — NIEL,House,,469000,195,1,0,0,32,66,66,172,2,0,Just renovated,20324065,No,
8554 — SINT-DENIJS,,Country,498000,170,1,0,0,0,,,852,3,0,Good,20322350,No,
3150 — Haacht,,Villa,795000,280,1,1,0,45,115,115,1112,,0,Good,20326170,No,
"6851 — Paliseul, Plainevaux",House,,329000,175,1,1,0,30,290,290,473,3,1,Good,20325330,No,
3061 — Leefdaal,House,,419000,200,1,0,0,15,100,100,253,,0,To be done up,20323831,No,
9900 — Eeklo,,Villa,475000,188,0,1,0,0,,,873,4,0,Good,20324946,No,
3080 — Tervuren,,Villa,1795000,310,1,1,0,40,2610,2610,2800,4,1,As new,20324056,No,
4450 — Juprelle,House,,239000,200,1,1,0,40,200,200,658,3,1,To be done up,20327216,No,
9620 — Zottegem,House,,299000,123,1,1,0,13,95,95,170,2,1,As new,20317909,No,
9600 — Ronse,House,,220000,188,1,1,0,15,,,80,2,1,Just renovated,20325796,No,
9120 — BEVEREN,House,,599000,264,1,0,0,55,,,702,4,0,Good,20326517,No,
2850 — Boom,House,,665000,273,0,1,0,0,12,12,270,2,1,Good,20325743,No,
4400 — IVOZ-RAMET,House,,190000,115,1,0,1,25,2000,2000,2313,3,0,Good,20319127,No,
6780 — LONGEAU,House,,405000,130,0,0,0,25,120,120,241,2,0,Good,20318426,No,
8530 — HARELBEKE,,Villa,379000,175,1,0,0,0,,,606,4,0,Good,20316535,No,
6800 — Libramont-Chevigny Freux,House,,145000,100,1,1,0,15,100,100,308,3,1,To renovate,20321878,No,
4032 — Liège,House,,199000,100,1,1,0,50,40,40,205,2,1,Good,20319848,No,
2860 — SINT-KATELIJNE-WAVER,House,,639000,195,1,0,0,15,75,75,342,2,0,Just renovated,20321672,No,
2890 — LIPPELO,,Villa,649000,174,1,0,0,75,,,593,4,1,Good,20324797,No,
9230 — WETTEREN,House,,740000,252,1,0,1,40,1292,1292,1481,4,0,To be done up,20316344,No,
9890 — Gavere Dikkelvenne,House,,417250,149,1,1,0,40,314,314,732,3,1,To be done up,20326851,No,
1950 — Kraainem,House,,615000,183,1,1,0,15,60,60,170,2,0,Good,20327330,No,
9500 — Geraardsbergen,House,,257000,156,0,1,0,0,,,1913,4,0,To renovate,20324529,No,
9680 — Maarkedal,,Villa,695000,208,0,1,0,17,,,9092,4,0,Good,20324568,No,
2900 — SCHOTEN,House,,419000,250,1,0,0,17,91,91,172,2,0,As new,20326884,No,
2610 — WILRIJK,House,,289000,186,0,0,0,0,90,90,172,2,0,To renovate,20323438,No,
4400 — Flémalle,House,,270000,110,1,1,0,20,300,300,680,3,1,As new,20326266,No,
4600 — Visé,House,,349000,150,1,1,0,49,360,360,490,2,1,Good,20323620,No,
4101 — Seraing Jemeppesur-Meuse,House,,180000,230,1,1,0,15,300,300,400,2,1,To be done up,20327113,No,
2630 — AARTSELAAR,House,,469000,195,1,0,0,32,66,66,172,2,0,Just renovated,20324060,No,
2845 — NIEL,House,,469000,195,1,0,0,32,66,66,172,2,0,Just renovated,20324065,No,
8554 — SINT-DENIJS,,Country,498000,170,1,0,0,0,,,852,3,0,Good,20322350,No,
3150 — Haacht,,Villa,795000,280,1,1,0,45,115,115,1112,,0,Good,20326170,No,
"6851 — Paliseul, Plainevaux",House,,329000,175,1,1,0,30,290,290,473,3,1,Good,20325330,No,
3061 — Leefdaal,House,,419000,200,1,0,0,15,100,100,253,,0,To be done up,20323831,No,
9900 — Eeklo,,Villa,475000,188,0,1,0,0,,,873,4,0,Good,20324946,No,
3080 — Tervuren,,Villa,1795000,310,1,1,0,40,2610,2610,2800,4,1,As new,20324056,No,
4450 — Juprelle,House,,239000,200,1,1,0,40,200,200,658,3,1,To be done up,20327216,No,
9600 — RONSE,House,,199000,118,1,0,0,8,40,40,100,2,0,Good,20315423,No,
9620 — Zottegem,House,,299000,123,1,1,0,13,95,95,170,2,1,As new,20317909,No,
9600 — Ronse,House,,220000,188,1,1,0,15,,,80,2,1,Just renovated,20325796,No,
9120 — BEVEREN,House,,599000,264,1,0,0,55,,,702,4,0,Good,20326517,No,
2850 — Boom,House,,665000,273,0,1,0,0,12,12,270,2,1,Good,20325743,No,
4400 — IVOZ-RAMET,House,,190000,115,1,0,1,25,2000,2000,2313,3,0,Good,20319127,No,
6780 — LONGEAU,House,,405000,130,0,0,0,25,120,120,241,2,0,Good,20318426,No,
8530 — HARELBEKE,,Villa,379000,175,1,0,0,0,,,606,4,0,Good,20316535,No,
6800 — Libramont-Chevigny Freux,House,,145000,100,1,1,0,15,100,100,308,3,1,To renovate,20321878,No,
4032 — Liège,House,,199000,100,1,1,0,50,40,40,205,2,1,Good,20319848,No,
2860 — SINT-KATELIJNE-WAVER,House,,639000,195,1,0,0,15,75,75,342,2,0,Just renovated,20321672,No,
9230 — WETTEREN,House,,740000,252,1,0,1,40,1292,1292,1481,4,0,To be done up,20316344,No,
9890 — Gavere Dikkelvenne,House,,417250,149,1,1,0,40,314,314,732,3,1,To be done up,20326851,No,
1950 — Kraainem,House,,615000,183,1,1,0,15,60,60,170,2,0,Good,20327330,No,
9500 — Geraardsbergen,House,,257000,156,0,1,0,0,,,1913,4,0,To renovate,20324529,No,
9680 — Maarkedal,,Villa,695000,208,0,1,0,17,,,9092,4,0,Good,20324568,No,
2900 — SCHOTEN,House,,419000,250,1,0,0,17,91,91,172,2,0,As new,20326884,No,
2610 — WILRIJK,House,,289000,186,0,0,0,0,90,90,172,2,0,To renovate,20323438,No,
4400 — Flémalle,House,,270000,110,1,1,0,20,300,300,680,3,1,As new,20326266,No,
4600 — Visé,House,,349000,150,1,1,0,49,360,360,490,2,1,Good,20323620,No,
4101 — Seraing Jemeppesur-Meuse,House,,180000,230,1,1,0,15,300,300,400,2,1,To be done up,20327113,No,
2630 — AARTSELAAR,House,,469000,195,1,0,0,32,66,66,172,2,0,Just renovated,20324060,No,
2845 — NIEL,House,,469000,195,1,0,0,32,66,66,172,2,0,Just renovated,20324065,No,
8554 — SINT-DENIJS,,Country,498000,170,1,0,0,0,,,852,3,0,Good,20322350,No,
3150 — Haacht,,Villa,795000,280,1,1,0,45,115,115,1112,,0,Good,20326170,No,
"6851 — Paliseul, Plainevaux",House,,329000,175,1,1,0,30,290,290,473,3,1,Good,20325330,No,
3061 — Leefdaal,House,,419000,200,1,0,0,15,100,100,253,,0,To be done up,20323831,No,
9900 — Eeklo,,Villa,475000,188,0,1,0,0,,,873,4,0,Good,20324946,No,
3080 — Tervuren,,Villa,1795000,310,1,1,0,40,2610,2610,2800,4,1,As new,20324056,No,
4450 — Juprelle,House,,239000,200,1,1,0,40,200,200,658,3,1,To be done up,20327216,No,
9600 — RONSE,House,,199000,118,1,0,0,8,40,40,100,2,0,Good,20315423,No,
9620 — Zottegem,House,,299000,123,1,1,0,13,95,95,170,2,1,As new,20317909,No,
9600 — Ronse,House,,220000,188,1,1,0,15,,,80,2,1,Just renovated,20325796,No,
9120 — BEVEREN,House,,599000,264,1,0,0,55,,,702,4,0,Good,20326517,No,
2850 — Boom,House,,665000,273,0,1,0,0,12,12,270,2,1,Good,20325743,No,
4400 — IVOZ-RAMET,House,,190000,115,1,0,1,25,2000,2000,2313,3,0,Good,20319127,No,
6780 — LONGEAU,House,,405000,130,0,0,0,25,120,120,241,2,0,Good,20318426,No,
8530 — HARELBEKE,,Villa,379000,175,1,0,0,0,,,606,4,0,Good,20316535,No,
6800 — Libramont-Chevigny Freux,House,,145000,100,1,1,0,15,100,100,308,3,1,To renovate,20321878,No,
4032 — Liège,House,,199000,100,1,1,0,50,40,40,205,2,1,Good,20319848,No,
2860 — SINT-KATELIJNE-WAVER,House,,639000,195,1,0,0,15,75,75,342,2,0,Just renovated,20321672,No,
9230 — WETTEREN,House,,740000,252,1,0,1,40,1292,1292,1481,4,0,To be done up,20316344,No,
9890 — Gavere Dikkelvenne,House,,417250,149,1,1,0,40,314,314,732,3,1,To be done up,20326851,No,
1950 — Kraainem,House,,615000,183,1,1,0,15,60,60,170,2,0,Good,20327330,No,
9500 — Geraardsbergen,House,,257000,156,0,1,0,0,,,1913,4,0,To renovate,20324529,No,
9680 — Maarkedal,,Villa,695000,208,0,1,0,17,,,9092,4,0,Good,20324568,No,
2900 — SCHOTEN,House,,419000,250,1,0,0,17,91,91,172,2,0,As new,20326884,No,
2610 — WILRIJK,House,,289000,186,0,0,0,0,90,90,172,2,0,To renovate,20323438,No,
4400 — Flémalle,House,,270000,110,1,1,0,20,300,300,680,3,1,As new,20326266,No,
4600 — Visé,House,,349000,150,1,1,0,49,360,360,490,2,1,Good,20323620,No,
4101 — Seraing Jemeppesur-Meuse,House,,180000,230,1,1,0,15,300,300,400,2,1,To be done up,20327113,No,
2630 — AARTSELAAR,House,,469000,195,1,0,0,32,66,66,172,2,0,Just renovated,20324060,No,
2845 — NIEL,House,,469000,195,1,0,0,32,66,66,172,2,0,Just renovated,20324065,No,
8554 — SINT-DENIJS,,Country,498000,170,1,0,0,0,,,852,3,0,Good,20322350,No,
3150 — Haacht,,Villa,795000,280,1,1,0,45,115,115,1112,,0,Good,20326170,No,
"6851 — Paliseul, Plainevaux",House,,329000,175,1,1,0,30,290,290,473,3,1,Good,20325330,No,
3061 — Leefdaal,House,,419000,200,1,0,0,15,100,100,253,,0,To be done up,20323831,No,
9900 — Eeklo,,Villa,475000,188,0,1,0,0,,,873,4,0,Good,20324946,No,
3080 — Tervuren,,Villa,1795000,310,1,1,0,40,2610,2610,2800,4,1,As new,20324056,No,
4450 — Juprelle,House,,239000,200,1,1,0,40,200,200,658,3,1,To be done up,20327216,No,
9600 — RONSE,House,,199000,118,1,0,0,8,40,40,100,2,0,Good,20315423,No,
9620 — Zottegem,House,,299000,123,1,1,0,13,95,95,170,2,1,As new,20317909,No,
9600 — Ronse,House,,220000,188,1,1,0,15,,,80,2,1,Just renovated,20325796,No,
9120 — BEVEREN,House,,599000,264,1,0,0,55,,,702,4,0,Good,20326517,No,
2850 — Boom,House,,665000,273,0,1,0,0,12,12,270,2,1,Good,20325743,No,
4400 — IVOZ-RAMET,House,,190000,115,1,0,1,25,2000,2000,2313,3,0,Good,20319127,No,
6780 — LONGEAU,House,,405000,130,0,0,0,25,120,120,241,2,0,Good,20318426,No,
8530 — HARELBEKE,,Villa,379000,175,1,0,0,0,,,606,4,0,Good,20316535,No,
6800 — Libramont-Chevigny Freux,House,,145000,100,1,1,0,15,100,100,308,3,1,To renovate,20321878,No,
4032 — Liège,House,,199000,100,1,1,0,50,40,40,205,2,1,Good,20319848,No,
2860 — SINT-KATELIJNE-WAVER,House,,639000,195,1,0,0,15,75,75,342,2,0,Just renovated,20321672,No,
