Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,State of the building,Code Immoweb,Type of Sale,
2140 — BORGERHOUT,Apartment,,185000,98,1,0,0,8,,,,3,0,Good,20317800,No,
9400 — NINOVE,Apartment,,299000,153,1,0,0,6,,,,2,0,Good,20318192,No,
1050 — Ixelles,Apartment,,395000,86,1,1,0,7,,,,3,1,Good,20319510,No,
2600 — BERCHEM,Apartment,,149000,48,1,0,0,9,,,,,0,Good,20316946,No,
2100 — ANTWERPEN,Apartment,,248000,91,1,0,0,2,,,,,0,Good,20315980,No,
1050 — Ixelles,Apartment,,495000,136,1,0,0,6,,,,2,0,As new,20317017,No,
6700 — Arlon,Apartment,,275000,88,1,1,0,5,,,,2,1,Good,20318933,No,
9000 — Gent,Apartment,,435000,67,1,0,0,15,31,31,,,0,Good,20319020,No,
1030 — Schaerbeek,,Penthouse,725000,170,1,1,0,150,,,,4,1,As new,20317907,No,
2660 — HOBOKEN,Apartment,,229000,100,0,0,0,26,,,,2,0,As new,20315431,No,
1180 — Uccle,Apartment,,470000,179,1,1,0,10,,,,2,1,Good,20315652,No,
2018 — ANTWERPEN,Apartment,,480000,116,1,0,0,7,,,,2,0,Just renovated,20315324,No,
1050 — IXELLES,Apartment,,695000,150,1,1,0,0,,,,2,1,Just renovated,20313791,No,
9500 — GERAARDSBERGEN,Apartment,,195000,130,1,0,0,0,,,,2,0,Good,20318225,No,
9500 — GERAARDSBERGEN,Apartment,,205000,152,1,0,0,0,,,,,0,Good,20318216,No,
1760 — ROOSDAAL,Apartment,,399000,141,1,0,0,65,,,,,0,Just renovated,20318213,No,
9500 — GERAARDSBERGEN,Apartment,,400000,252,1,0,0,0,,,,2,0,Good,20318223,No,
1070 — Anderlecht,Apartment,,315000,120,1,1,0,8,,,,2,1,As new,20313783,No,
2160 — WOMMELGEM,Apartment,,249000,99,1,0,0,4,,,,,0,Good,20313380,No,
2850 — BOOM,Apartment,,249900,125,1,0,0,13,,,,2,0,As new,20310616,No,
2140 — Borgerhout,Apartment,,219000,92,0,0,0,6,,,,3,0,Good,20318805,No,
2600 — BERCHEM,Apartment,,299000,147,1,0,0,15,,,,,0,Good,20317834,No,
9800 — Astene,Apartment,,399000,130,1,1,0,4,,,,,0,Good,20316678,No,
1180 — Uccle,,Ground,450000,122,1,1,0,0,200,200,,3,1,Good,20317775,No,
2600 — BERCHEM,,Flat,159000,41,1,0,0,9,,,,,0,Good,20317296,No,
9600 — RONSE,Apartment,,235000,103,1,0,0,20,104,104,,3,0,Good,20317242,No,
2660 — HOBOKEN,Apartment,,265000,90,1,0,0,14,,,,2,0,As new,20315429,No,
8500 — Kortrijk,Apartment,,349000,110,1,0,0,8,,,,2,0,Good,20316537,No,
8450 — Bredene,Apartment,,279000,79,0,0,0,22,,,,,0,Good,20318937,No,
9000 — Gent,Apartment,,585000,110,1,0,0,0,,,,,0,Good,20319003,No,
1600 — Sint-Pieters-Leeuw,Apartment,,215000,62,1,1,0,0,,,,,0,Just renovated,20317353,No,
9100 — Sint-Niklaas,Apartment,,425000,115,1,0,0,0,,,,,0,Good,20319015,No,
1050 — Ixelles,Apartment,,295000,83,1,1,0,3,,,,2,1,To renovate,20313639,No,
9080 — Lochristi,Apartment,,349000,120,1,1,0,2,,,,,0,Good,20311532,No,
1180 — UCCLE,Apartment,,650000,209,1,0,1,25,,,,3,0,To be done up,20315035,No,
2600 — BERCHEM,Apartment,,389000,125,1,0,0,19,,,,,0,Good,20309124,No,
2830 — WILLEBROEK,,Penthouse,299000,125,1,0,0,7,,,,2,0,Good,20314605,No,
8790 — WAREGEM,Apartment,,345000,172,1,0,0,25,,,,,0,Good,20312550,No,
2610 — WILRIJK,Apartment,,395000,129,1,0,0,12,,,,2,0,Just renovated,20311819,No,
1180 — Uccle,,Flat,179000,37,1,1,0,0,18,18,,4,1,Good,20317231,No,
9800 — Deinze,Apartment,,215000,99,1,1,0,0,,,,,0,To renovate,20318921,No,
2660 — Hoboken,Apartment,,219900,67,1,0,0,6,,,,2,0,Just renovated,20317848,No,
8400 — Oostende,Apartment,,255000,90,0,1,0,0,,,,,0,Good,20315281,No,
9300 — Aalst (9300),Apartment,,269000,91,1,0,0,5,,,,,0,Good,20318953,No,
9320 — Erembodegem,Apartment,,269000,91,1,0,0,5,,,,,0,Good,20318983,No,
8300 — Knokke,Apartment,,699000,102,1,1,0,7,,,,,0,Good,20318967,No,
8300 — Knokke-Zoute,Apartment,,3850000,182,1,1,0,0,,,,2,0,Good,20318981,No,
,,,,0,0,0,0,,,,,0,,,,,
9940 — EVERGEM,Apartment,,275000,83,1,0,0,17,,,,2,0,Good,20315703,No,
1000 — Bruxelles,Apartment,,375000,92,1,0,0,0,,,,2,1,Good,20313658,No,
9000 — GENT,Apartment,,445000,105,1,0,0,0,,,,2,0,Just renovated,20315686,No,
1180 — Bruxelles,,Duplex,790000,188,1,0,1,20,,,,2,1,As new,20312977,No,
2940 — Stabroek,Apartment,,250000,80,1,0,0,14,,,,,0,Just renovated,20310934,No,
2940 — Stabroek,Apartment,,255000,85,1,0,0,14,,,,,0,Just renovated,20310935,No,
1080 — Molenbeek-Saint-Jean,Apartment,,275000,110,0,1,1,26,,,,,1,As new,20314951,No,
1081 — Koekelberg,Apartment,,275000,110,0,1,1,26,,,,,1,As new,20314950,No,
1082 — Berchem-Sainte-Agathe,Apartment,,275000,110,0,1,1,26,,,,,1,As new,20314949,No,
9300 — Aalst,Apartment,,549000,180,1,0,0,15,,,,2,0,Good,20311469,No,
1000 — BRUXELLES,Apartment,,695000,150,1,0,0,0,,,,2,0,Just renovated,20313793,No,
1080 — SINT-JANS-MOLENBEEK,Apartment,,165000,55,0,0,0,11,,,,2,0,Good,20308496,No,
2600 — BERCHEM,Apartment,,319000,100,1,0,0,4,,,,2,0,Just renovated,20304816,No,
9000 — Gent,Apartment,,369000,87,1,1,0,7,,,,,0,Good,20304633,No,
2100 — DEURNE,,Penthouse,400000,152,1,0,0,110,,,,2,0,Good,20306871,"('Under option', 'No')",
2100 — DEURNE,Apartment,,400000,152,1,0,0,110,,,,2,0,Good,20306870,"('Under option', 'No')",
2100 — Antwerpen Deurne,,Ground,234900,85,1,1,0,0,26,26,,2,1,As new,20307858,No,
9000 — Gent,Apartment,,435000,68,1,0,0,0,,,,,0,Good,20319016,No,
9000 — Gent,Apartment,,435000,66,1,0,0,0,,,,,0,Good,20319009,No,
9000 — Gent,Apartment,,525000,84,1,1,0,11,,,,,0,Just renovated,20319054,No,
8400 — Oostende,Apartment,,595000,104,0,1,0,0,,,,,0,Just renovated,20317050,No,
9100 — SINT-NIKLAAS,Apartment,,125000,68,1,0,0,10,,,,,0,To renovate,20315651,No,
8400 — Oostende,Apartment,,269000,132,1,1,0,0,,,,,0,Good,20312801,No,
3530 — Houthalen,Apartment,,295000,140,1,0,0,0,,,,,0,Good,20314612,No,
8430 — Middelkerke,Apartment,,320000,74,0,1,0,0,,,,,0,Good,20313532,No,
9050 — Ledeberg,Apartment,,399000,142,0,1,0,60,,,,,0,Good,20312839,No,
1040 — Bruxelles,Apartment,,175000,40,1,1,0,0,,,,2,1,To be done up,20308983,No,
2800 — MECHELEN,,Ground,375000,94,1,0,0,7,,,,2,0,Good,20309622,No,
1030 — Schaerbeek,Apartment,,399000,100,1,1,0,8,,,,2,1,As new,20308527,No,
2600 — BERCHEM,Apartment,,235000,85,1,0,0,5,,,,3,0,As new,20305843,No,
9620 — Zottegem,Apartment,,269500,82,1,1,0,9,,,,,0,Good,20310099,No,
9620 — Zottegem,Apartment,,319500,90,1,1,0,13,,,,,0,Good,20310100,No,
8400 — Oostende,,Penthouse,595000,104,1,0,0,0,,,,,0,As new,20318950,No,
1000 — Bruxelles,,Duplex,670000,152,1,1,0,30,70,70,,2,1,Good,20316635,No,
8300 — Knokke,Apartment,,765000,99,1,1,0,10,,,,2,0,To renovate,20309681,No,
4000 — Liège,Apartment,,169000,94,1,0,0,8,,,,4,0,,20316893,No,
8420 — De Haan,Apartment,,185000,57,1,1,0,0,,,,,1,Good,20311480,No,
8434 — Westende,Apartment,,219000,63,0,0,0,4,,,,,0,Good,20314996,No,
9300 — Aalst (9300),Apartment,,240000,104,0,1,0,0,,,,,0,Good,20312205,No,
8800 — Roeselare,Apartment,,325000,94,0,0,0,5,29,29,,,0,Good,20314962,No,
8434 — Westende,Apartment,,199500,61,0,1,0,0,,,,,0,Good,20311522,No,
2550 — KONTICH,Apartment,,695000,240,1,0,0,27,,,,,0,Good,20306709,No,
