Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,Code Immoweb,Type of Sale
9230 — WETTEREN,House,,740000,4,252,1,0,1,40,1292,1292,1481,4,0,To be done up,20316344,No
8530 — HARELBEKE,,Villa,379000,3,175,1,0,0,0,,,606,4,0,Good,20316535,No
2100 — DEURNE,House,,309900,3,120,1,0,1,9,110,110,185,2,0,To renovate,20316323,No
9600 — RONSE,House,,380000,3,150,1,0,0,0,360,360,604,3,0,Good,20314682,No
8500 — Kortrijk,House,,164500,3,120,1,0,0,20,40,40,94,2,0,Good,20315988,No
2660 — HOBOKEN,House,,359000,3,148,1,0,0,22,39,39,136,3,0,As new,20315649,No
4020 — Liège,House,,199000,3,102,1,1,0,19,65,65,66,2,1,As new,20315534,No
9600 — Ronse,House,,229000,4,136,1,1,0,15,215,215,307,3,1,As new,20315481,No
4400 — Flémalle,House,,265000,3,135,1,1,0,10,50,50,145,2,1,As new,20316175,No
1410 — Waterloo,House,,345000,3,137,1,1,0,0,488,488,488,3,0,To renovate,20316348,No
7812 — HOUTAING,,Mansion,499000,5,321,1,0,0,40,515,515,891,4,1,Good,20316523,No
4140 — Sprimont,House,,215000,2,164,1,1,0,30,1127,1127,1300,3,1,Good,20312392,No
4624 — Fléron Romsée,House,,220000,3,138,1,1,0,35,150,150,137,2,1,To be done up,20310814,No
9700 — Oudenaarde,House,,299000,3,169,0,1,0,0,,,811,4,0,To renovate,20310264,No
8880 — Ledegem,House,,199000,4,350,1,0,0,16,,,272,2,0,To renovate,20315989,No
9860 — Oosterzele,House,,455000,3,147,1,1,0,16,77,77,217,3,1,Just renovated,20315018,No
1180 — Uccle,House,,595000,4,171,1,1,0,15,30,30,110,2,1,Good,20315674,No
4420 — Saint-Nicolas,House,,289000,3,141,1,1,0,20,492,492,600,4,1,As new,20310776,No
1030 — Schaerbeek,House,,375000,5,200,1,1,0,10,30,30,100,2,1,To be done up,20313336,No
1840 — Londerzeel,,Villa,595000,4,226,0,0,0,0,1900,1900,2406,4,0,As new,20311104,No
1400 — NIVELLES,House,,260000,2,140,1,0,0,30,70,70,135,2,0,Good,20310553,No
9890 — Gavere,House,,459000,3,430,1,1,0,50,179,179,309,2,1,To be done up,20310291,No
9600 — RONSE,House,,285000,2,150,1,0,0,0,,,170,2,0,Good,20316554,No
9840 — De Pinte,House,,375000,3,149,0,1,0,0,361,361,361,,0,Good,20316691,No
9940 — SLEIDINGE,House,,579000,3,285,1,0,0,0,,,1485,4,0,Good,20315700,No
8300 — Knokke-Zoute,House,,1395000,3,164,1,1,0,0,,,465,3,0,Good,20312236,No
9600 — Ronse,,Mansion,309000,4,232,1,1,0,12,158,158,310,2,1,Just renovated,20314852,No
2860 — SINT-KATELIJNE-WAVER,,Exceptional,1490000,5,564,1,0,1,15,1047,1047,1610,4,1,Good,20309293,No
4101 — Seraing,House,,199000,3,100,1,1,0,30,,,100,2,1,Good,20314548,No
9300 — Aalst (9300),House,,255000,3,173,1,0,0,0,,,614,,0,To renovate,20313597,No
